setting,model,acc_mean,acc_std,bacc_mean,bacc_std,f1m_mean,f1m_std,aucm_mean,aucm_std
all,logreg,0.9399999999999998,0.0651920240520265,0.9399999999999998,0.0651920240520265,0.9389206349206348,0.0673740251080433,0.990625,0.0116926793336685
all,rf,0.91,0.0651920240520265,0.91,0.0651920240520265,0.905027417027417,0.0709794746832556,0.99125,0.0119814309454254
all,xgb,0.8300000000000001,0.1036822067666386,0.8300000000000001,0.1036822067666386,0.827027417027417,0.1053804283533069,0.97375,0.0263872897907306
ef,logreg,0.75,0.1118033988749895,0.75,0.1118033988749895,0.7462222222222222,0.11511900795018,0.9475,0.0312030897909165
ef,rf,0.74,0.0741619848709566,0.74,0.0741619848709566,0.739027417027417,0.0746355873665716,0.923125,0.0475267194586371
ef,xgb,0.74,0.1294217910554478,0.74,0.1294217910554478,0.7245714285714284,0.1426229738619182,0.91625,0.0439948505509451
vol,logreg,0.8699999999999999,0.0447213595499957,0.8699999999999999,0.0447213595499957,0.8669004329004328,0.0461262474978917,0.969375,0.0220306959150181
vol,rf,0.9,0.0790569415042094,0.9,0.0790569415042094,0.8920750360750359,0.0889548339554671,0.984375,0.0204919953884437
vol,xgb,0.8699999999999999,0.0570087712549568,0.8699999999999999,0.0570087712549568,0.8677777777777778,0.0587022670792353,0.9675,0.0289463404422735
